stfips,county_name,state,cat_rucc,air_EQI_22July2013,water_EQI_22July2013,land_EQI_22July2013,sociod_EQI_22July2013,built_EQI_22July2013,EQI_22July2013,RUCC1_air_EQI_22July2013,RUCC1_water_EQI_22July2013,RUCC1_land_EQI_22July2013,RUCC1_sociod_EQI_22July2013,RUCC1_built_EQI_22July2013,RUCC1_EQI_22July2013,RUCC2_air_EQI_22July2013,RUCC2_water_EQI_22July2013,RUCC2_land_EQI_22July2013,RUCC2_sociod_EQI_22July2013,RUCC2_built_EQI_22July2013,RUCC2_EQI_22July2013,RUCC3_air_EQI_22July2013,RUCC3_water_EQI_22July2013,RUCC3_land_EQI_22July2013,RUCC3_sociod_EQI_22July2013,RUCC3_built_EQI_22July2013,RUCC3_EQI_22July2013,RUCC4_air_EQI_22July2013,RUCC4_water_EQI_22July2013,RUCC4_land_EQI_22July2013,RUCC4_sociod_EQI_22July2013,RUCC4_built_EQI_22July2013,RUCC4_EQI_22July2013
01001,Autauga County,AL,1,0.9553846,-1.109728,-0.7065906,0.6704357,-0.4973013,0.0041379,0.4059122,-1.131072,-0.904579,-0.3510596,-0.8367718,-0.6752936,,,,,,,,,,,,,,,,,,
01003,Baldwin County,AL,2,0.7179643,-0.5659107,-1.084299,0.5530728,0.4015849,0.2002343,,,,,,,0.4448415,-0.6358124,-1.209561,0.8666556,-0.0588733,-0.3493914,,,,,,,,,,,,
01005,Barbour County,AL,3,0.1310074,-0.9780902,-1.28147,-1.236294,0.0488544,-0.9506388,,,,,,,,,,,,,0.5241384,-1.148049,-1.219538,-0.9945131,-0.4168211,-1.187541,,,,,,
01007,Bibb County,AL,1,0.065289,-0.9681726,-0.8274103,-0.6000178,-1.290857,-1.08892,-1.079563,-0.9966963,-1.074134,0.9804665,-1.737768,-1.964296,,,,,,,,,,,,,,,,,,
01009,Blount County,AL,1,0.4021944,-0.7186447,-0.6229339,0.2965088,-1.26274,-0.5139221,-0.5635878,-0.7485743,-0.7386618,-0.119563,-1.691662,-1.334889,,,,,,,,,,,,,,,,,,
01011,Bullock County,AL,3,-0.3091858,-1.451335,-1.258014,-1.82397,-1.795921,-2.082829,,,,,,,,,,,,,-0.2356092,-1.606816,-1.18992,-1.745911,-1.854656,-2.584096,,,,,,
01013,Butler County,AL,3,-0.0704518,-1.528175,-1.678537,-1.295534,-0.0580627,-1.296328,,,,,,,,,,,,,0.2621468,-1.685673,-1.570398,-1.122329,-0.4370088,-1.606556,,,,,,
01015,Calhoun County,AL,1,1.027328,-0.9281401,-0.0666635,-0.3698209,0.4047821,0.1712656,0.4865935,-0.9562091,-0.1567167,0.9663686,0.2138702,-0.3466966,,,,,,,,,,,,,,,,,,
01017,Chambers County,AL,3,0.6116033,-1.004405,-0.2369899,-0.699318,-0.4082792,-0.4575818,,,,,,,,,,,,,1.264777,-1.177619,-0.1186089,-0.590822,-0.7405582,-0.6178681,,,,,,
01019,Cherokee County,AL,4,0.1769833,-0.9704146,-0.1945019,-0.6738133,-0.6189157,-0.657851,,,,,,,,,,,,,,,,,,,1.523149,-0.6827614,-0.0846185,-0.2162288,0.1377191,-0.1587519
01021,Chilton County,AL,1,0.1707421,-1.059535,-0.6654943,-0.141334,-0.447298,-0.5415099,-0.9002951,-1.083351,-0.8487106,0.3071869,-0.7394459,-1.345793,,,,,,,,,,,,,,,,,,
01023,Choctaw County,AL,4,-0.3624081,-1.24212,-1.716982,-1.242582,-0.7427115,-1.584042,,,,,,,,,,,,,,,,,,,0.8842851,-0.9780678,-1.457565,-0.9556826,-0.1078299,-1.188833
01025,Clarke County,AL,3,-0.1306789,-1.122216,-1.877054,-0.9321283,-0.2272212,-1.218799,,,,,,,,,,,,,0.066833,-1.28361,-1.740629,-0.663412,-0.245581,-1.502353,,,,,,
01027,Clay County,AL,4,-0.1722357,-0.9876922,-0.189493,-0.7478549,-0.8776811,-0.9040374,,,,,,,,,,,,,,,,,,,1.104465,-0.6945698,-0.1243758,-0.4784908,-0.1252363,-0.2941664
01029,Cleburne County,AL,4,0.0225133,-0.8583899,-0.2598838,-0.4756131,-1.233658,-0.8566779,,,,,,,,,,,,,,,,,,,1.311364,-0.5707607,-0.2013289,-0.282076,-0.5329899,-0.2630607
01031,Coffee County,AL,3,0.4223093,-1.086293,-1.371213,-0.1633784,0.0374083,-0.4874451,,,,,,,,,,,,,0.9777564,-1.258697,-1.33618,0.0898153,-0.2698368,-0.655435,,,,,,
01033,Colbert County,AL,1,1.04411,-0.9147808,-0.2068101,0.0195102,0.3970989,0.2869461,0.432759,-0.9385915,-0.2653879,0.3771146,0.1131125,-0.2527125,,,,,,,,,,,,,,,,,,
01035,Conecuh County,AL,4,-0.4582785,-0.9339556,-2.215354,-1.386962,-1.882343,-2.168475,,,,,,,,,,,,,,,,,,,0.8061904,-0.6533539,-1.876265,-1.236192,-1.152364,-1.814328
01037,Coosa County,AL,4,-0.1089109,-1.515493,-0.3489624,-0.7830176,-2.316545,-1.562408,,,,,,,,,,,,,,,,,,,1.169983,-1.242386,-0.2861306,-0.4065001,-1.292676,-0.9021683
